file,subject,session,trial,detected,latency_s,is_clean,artifact_max_uV
sess01_subj01_EEG_MI.mat,1,1,67,False,nan,True,396.20001220703125
sess01_subj01_EEG_MI.mat,1,1,68,False,nan,True,346.1000061035156
sess01_subj01_EEG_MI.mat,1,1,69,False,nan,True,287.0
sess01_subj01_EEG_MI.mat,1,1,70,True,0.3500000000000001,True,364.70001220703125
sess01_subj01_EEG_MI.mat,1,1,71,True,0.6000000000000001,True,683.0
sess01_subj01_EEG_MI.mat,1,1,72,False,nan,True,353.20001220703125
sess01_subj01_EEG_MI.mat,1,1,73,True,0.6000000000000001,True,631.2000122070312
sess01_subj01_EEG_MI.mat,1,1,74,True,0.6000000000000001,False,1142.699951171875
sess01_subj01_EEG_MI.mat,1,1,75,False,nan,True,527.2999877929688
sess01_subj01_EEG_MI.mat,1,1,76,True,0.3500000000000001,True,592.0
sess01_subj01_EEG_MI.mat,1,1,77,True,0.3500000000000001,True,618.5999755859375
sess01_subj01_EEG_MI.mat,1,1,78,True,0.3500000000000001,False,1029.5
sess01_subj01_EEG_MI.mat,1,1,79,False,nan,True,435.20001220703125
sess01_subj01_EEG_MI.mat,1,1,80,True,0.6000000000000001,False,830.9000244140625
sess01_subj01_EEG_MI.mat,1,1,81,True,0.5,True,338.1000061035156
sess01_subj01_EEG_MI.mat,1,1,82,False,nan,False,768.5999755859375
sess01_subj01_EEG_MI.mat,1,1,83,False,nan,False,865.9000244140625
sess01_subj01_EEG_MI.mat,1,1,84,False,nan,True,628.2999877929688
sess01_subj01_EEG_MI.mat,1,1,85,True,0.3999999999999999,False,1405.4000244140625
sess01_subj01_EEG_MI.mat,1,1,86,True,0.3999999999999999,True,593.0
sess01_subj01_EEG_MI.mat,1,1,87,False,nan,True,322.79998779296875
sess01_subj01_EEG_MI.mat,1,1,88,True,0.6000000000000001,True,383.3999938964844
sess01_subj01_EEG_MI.mat,1,1,89,True,0.6000000000000001,True,747.4000244140625
sess01_subj01_EEG_MI.mat,1,1,90,False,nan,True,325.6000061035156
sess01_subj01_EEG_MI.mat,1,1,91,True,0.4500000000000002,False,856.9000244140625
sess01_subj01_EEG_MI.mat,1,1,92,True,0.3500000000000001,True,607.7999877929688
sess01_subj01_EEG_MI.mat,1,1,93,True,0.6000000000000001,True,405.1000061035156
sess01_subj01_EEG_MI.mat,1,1,94,False,nan,True,380.70001220703125
sess01_subj01_EEG_MI.mat,1,1,95,True,0.6000000000000001,False,919.5999755859375
sess01_subj01_EEG_MI.mat,1,1,96,False,nan,False,998.2000122070312
sess01_subj01_EEG_MI.mat,1,1,97,False,nan,True,689.5
sess01_subj01_EEG_MI.mat,1,1,98,True,0.3500000000000001,True,314.70001220703125
sess01_subj01_EEG_MI.mat,1,1,99,False,nan,True,693.5999755859375
sess01_subj01_EEG_MI.mat,1,1,100,True,0.3999999999999999,True,338.1000061035156
sess01_subj02_EEG_MI.mat,2,1,1,True,0.6000000000000001,True,343.79998779296875
sess01_subj02_EEG_MI.mat,2,1,2,True,0.6000000000000001,True,383.1000061035156
sess01_subj02_EEG_MI.mat,2,1,3,True,0.6000000000000001,True,238.60000610351562
sess01_subj02_EEG_MI.mat,2,1,4,True,0.6000000000000001,True,332.5
sess01_subj02_EEG_MI.mat,2,1,5,False,nan,True,446.0
sess01_subj02_EEG_MI.mat,2,1,6,True,0.3500000000000001,True,532.2999877929688
sess01_subj02_EEG_MI.mat,2,1,7,False,nan,True,482.1000061035156
sess01_subj02_EEG_MI.mat,2,1,8,True,0.3500000000000001,True,301.6000061035156
sess01_subj02_EEG_MI.mat,2,1,9,False,nan,True,97.5999984741211
sess01_subj02_EEG_MI.mat,2,1,10,False,nan,True,366.6000061035156
sess01_subj02_EEG_MI.mat,2,1,11,False,nan,True,411.6000061035156
sess01_subj02_EEG_MI.mat,2,1,12,True,0.5,True,361.1000061035156
sess01_subj02_EEG_MI.mat,2,1,13,True,0.6000000000000001,True,276.5
sess01_subj02_EEG_MI.mat,2,1,14,True,0.6000000000000001,True,384.70001220703125
sess01_subj02_EEG_MI.mat,2,1,15,False,nan,True,325.20001220703125
sess01_subj02_EEG_MI.mat,2,1,16,False,nan,True,195.3000030517578
sess01_subj02_EEG_MI.mat,2,1,17,False,nan,True,544.2000122070312
sess01_subj02_EEG_MI.mat,2,1,18,False,nan,True,284.0
sess01_subj02_EEG_MI.mat,2,1,19,True,0.3500000000000001,True,377.3999938964844
sess01_subj02_EEG_MI.mat,2,1,20,True,0.6000000000000001,True,382.29998779296875
sess01_subj02_EEG_MI.mat,2,1,21,True,0.6000000000000001,True,396.3999938964844
sess01_subj02_EEG_MI.mat,2,1,22,True,0.6000000000000001,True,516.5
sess01_subj02_EEG_MI.mat,2,1,23,False,nan,True,392.6000061035156
sess01_subj02_EEG_MI.mat,2,1,24,True,0.5,True,400.6000061035156
sess01_subj02_EEG_MI.mat,2,1,25,True,0.6000000000000001,True,327.3999938964844
sess01_subj02_EEG_MI.mat,2,1,26,False,nan,True,362.70001220703125
sess01_subj02_EEG_MI.mat,2,1,27,True,0.3999999999999999,True,464.70001220703125
sess01_subj02_EEG_MI.mat,2,1,28,False,nan,True,317.70001220703125
sess01_subj02_EEG_MI.mat,2,1,29,True,0.3999999999999999,True,421.6000061035156
sess01_subj02_EEG_MI.mat,2,1,30,True,0.6000000000000001,True,384.0
sess01_subj02_EEG_MI.mat,2,1,31,True,0.5499999999999998,True,395.0
sess01_subj02_EEG_MI.mat,2,1,32,True,0.6000000000000001,True,402.5
sess01_subj02_EEG_MI.mat,2,1,33,False,nan,True,520.5
sess01_subj02_EEG_MI.mat,2,1,34,False,nan,True,368.8999938964844
sess01_subj02_EEG_MI.mat,2,1,35,True,0.7000000000000002,True,464.0
sess01_subj02_EEG_MI.mat,2,1,36,True,0.6000000000000001,True,447.20001220703125
sess01_subj02_EEG_MI.mat,2,1,37,False,nan,True,97.69999694824219
sess01_subj02_EEG_MI.mat,2,1,38,True,0.5,True,434.29998779296875
sess01_subj02_EEG_MI.mat,2,1,39,False,nan,True,455.79998779296875
sess01_subj02_EEG_MI.mat,2,1,40,False,nan,True,467.0
sess01_subj02_EEG_MI.mat,2,1,41,True,0.7999999999999998,True,476.29998779296875
sess01_subj02_EEG_MI.mat,2,1,42,False,nan,True,423.8999938964844
sess01_subj02_EEG_MI.mat,2,1,43,True,0.6000000000000001,True,407.3999938964844
sess01_subj02_EEG_MI.mat,2,1,44,True,0.6000000000000001,True,412.29998779296875
sess01_subj02_EEG_MI.mat,2,1,45,True,0.6000000000000001,True,435.0
sess01_subj02_EEG_MI.mat,2,1,46,True,0.6000000000000001,True,484.0
sess01_subj02_EEG_MI.mat,2,1,47,False,nan,True,461.8999938964844
sess01_subj02_EEG_MI.mat,2,1,48,False,nan,True,403.5
sess01_subj02_EEG_MI.mat,2,1,49,True,0.3500000000000001,True,377.20001220703125
sess01_subj02_EEG_MI.mat,2,1,50,True,0.3500000000000001,True,399.0
sess01_subj02_EEG_MI.mat,2,1,51,True,0.6000000000000001,True,502.70001220703125
sess01_subj02_EEG_MI.mat,2,1,52,True,0.4500000000000002,True,580.7000122070312
sess01_subj02_EEG_MI.mat,2,1,53,True,0.4500000000000002,True,282.79998779296875
sess01_subj02_EEG_MI.mat,2,1,54,True,0.6000000000000001,True,435.6000061035156
sess01_subj02_EEG_MI.mat,2,1,55,False,nan,True,511.20001220703125
sess01_subj02_EEG_MI.mat,2,1,56,True,0.6000000000000001,True,384.3999938964844
sess01_subj02_EEG_MI.mat,2,1,57,False,nan,True,364.6000061035156
sess01_subj02_EEG_MI.mat,2,1,58,True,0.6000000000000001,True,294.8999938964844
sess01_subj02_EEG_MI.mat,2,1,59,False,nan,True,497.0
sess01_subj02_EEG_MI.mat,2,1,60,False,nan,True,453.1000061035156
sess01_subj02_EEG_MI.mat,2,1,61,False,nan,True,524.7000122070312
sess01_subj02_EEG_MI.mat,2,1,62,True,0.5,True,447.3999938964844
sess01_subj02_EEG_MI.mat,2,1,63,False,nan,True,343.70001220703125
sess01_subj02_EEG_MI.mat,2,1,64,True,0.6000000000000001,True,391.29998779296875
sess01_subj02_EEG_MI.mat,2,1,65,True,0.6000000000000001,True,426.20001220703125
sess01_subj02_EEG_MI.mat,2,1,66,True,0.5,True,425.8999938964844
sess01_subj02_EEG_MI.mat,2,1,67,True,0.3500000000000001,True,403.6000061035156
sess01_subj02_EEG_MI.mat,2,1,68,True,0.6000000000000001,True,406.0
sess01_subj02_EEG_MI.mat,2,1,69,True,0.3500000000000001,True,438.8999938964844
sess01_subj02_EEG_MI.mat,2,1,70,True,0.3500000000000001,True,420.3999938964844
sess01_subj02_EEG_MI.mat,2,1,71,True,0.4500000000000002,True,391.0
sess01_subj02_EEG_MI.mat,2,1,72,True,0.3999999999999999,True,340.3999938964844
sess01_subj02_EEG_MI.mat,2,1,73,False,nan,True,377.8999938964844
sess01_subj02_EEG_MI.mat,2,1,74,True,0.3500000000000001,True,322.79998779296875
sess01_subj02_EEG_MI.mat,2,1,75,True,0.6000000000000001,True,433.29998779296875
sess01_subj02_EEG_MI.mat,2,1,76,True,0.6000000000000001,True,379.8999938964844
sess01_subj02_EEG_MI.mat,2,1,77,True,0.6000000000000001,True,388.29998779296875
sess01_subj02_EEG_MI.mat,2,1,78,False,nan,True,361.70001220703125
sess01_subj02_EEG_MI.mat,2,1,79,True,0.6000000000000001,True,464.0
